1940.00	73.06
3200.00	29.14
900.00	20.32
1440.00	80.01
2000.00	b3012
1780.00	b2912
800.00	b0429
460.00	b3129
460.00	b3130
600.00	b1829
600.00	b1830
610.00	b2229
610.00	b2230
690.00	b0329
810.00	b2129
690.00	b0330
810.00	b2130
670.00	b2329
670.00	b2330
800.00	b0414
620.00	b1914
760.00	b0914
460.00	b3114
610.00	b1814
1200.00	b1714
610.00	b2214
680.00	b0314
790.00	b2114
680.00	b2314
760.00	b2714
800.00	b0415
1200.00	b2815
610.00	b2215
680.00	b0315
790.00	b2115
680.00	b2315
800.00	b0417
460.00	b3117
610.00	b1817
610.00	b2217
680.00	b0317
790.00	b2117
680.00	b2317
800.00	b0403
800.00	b0402
800.00	b0401
440.00	b3103
450.00	b3102
440.00	b3101
610.00	b1803
610.00	b1802
600.00	b1801
610.00	b2203
580.00	b2202
580.00	b2201
680.00	b0303
760.00	b2103
680.00	b0302
840.00	b2102
760.00	b0301
1250.00	b2101
660.00	b2303
660.00	b2302
660.00	b2301
800.00	b0437
800.00	b0436
800.00	b0405
800.00	b0409
800.00	b0411
800.00	b0435
800.00	b0434
800.00	b0431
800.00	b0413
800.00	b0424
600.00	b1318
600.00	b1319
1100.00	b0609
1100.00	b0608
1100.00	b0622
1100.00	b0621
1200.00	b2804
1040.00	b0518
1040.00	b0522
600.00	b1218
600.00	b1223
650.00	b1107
630.00	b1105
630.00	b1104
630.00	b1106
720.00	b1607
720.00	b1605
720.00	b1604
720.00	b1606
460.00	b3137
460.00	b3136
440.00	b3105
460.00	b3108
460.00	b3110
460.00	b3135
460.00	b3134
460.00	b3131
460.00	b3132
460.00	b3133
460.00	b3120
600.00	b1837
610.00	b1836
610.00	b1804
610.00	b1809
610.00	b1811
610.00	b1810
610.00	b1835
610.00	b1834
610.00	b1831
610.00	b1832
610.00	b1833
610.00	b1819
610.00	b2237
610.00	b2236
610.00	b2207
610.00	b2209
610.00	b2208
610.00	b2211
610.00	b2210
610.00	b2235
610.00	b2234
610.00	b2231
610.00	b2232
610.00	b2233
610.00	b2221
680.00	b0337
790.00	b2137
680.00	b0336
790.00	b2136
820.00	b2107
680.00	b0309
840.00	b2109
680.00	b0308
840.00	b2108
680.00	b0311
840.00	b2111
680.00	b0310
840.00	b2110
680.00	b0335
790.00	b2135
680.00	b0334
790.00	b2134
680.00	b0331
790.00	b2131
680.00	b0332
790.00	b2132
680.00	b0333
790.00	b2133
870.00	b0313
980.00	b2113
760.00	b0320
680.00	b2337
680.00	b2336
660.00	b2304
680.00	b2309
680.00	b2308
680.00	b2311
680.00	b2310
680.00	b2335
680.00	b2334
680.00	b2331
680.00	b2332
680.00	b2333
670.00	b2323
680.00	b0304
550.00	b2606
800.00	b0425
460.00	b3127
600.00	b1828
610.00	b2227
610.00	b2228
610.00	b2226
610.00	b2225
680.00	b0327
680.00	b0328
790.00	b2128
680.00	b0326
680.00	b0325
790.00	b2125
680.00	b2327
680.00	b2328
680.00	b2326
680.00	b2325
800.00	b0416
1100.00	b0616
440.00	b3116
590.00	b1816
580.00	b2216
680.00	b0316
780.00	b2116
660.00	b2316
440.00	52.10
2600.00	09.63
220.00	22.04
190.00	60.01
340.00	07.05
1300.00	72.17
1150.00	07.28
1900.00	07.61
340.00	07.03
1520.00	18.06
330.00	09.17
1200.00	18.07
600.00	71.07
200.00	18.02
790.00	06.14
410.00	06.13
900.00	20.29
900.00	20.30
300.00	09.57
1100.00	07.19
1400.00	07.20
1900.00	154
200.00	19.02
4000.00	52.64
1380.00	52.05
3040.00	73.04
5900.00	73.07
1960.00	71.29
980.00	71.32
500.00	13.10
900.00	20.26
